Path,Parent,Purpose class,Purpose statement,Location verdict,Evidence,Ref touch,Parent align,Wave,Section
packages/frameworks/workflow-mgt/scripts/validation/validate_kanban_governance_policy.py,packages/frameworks,Operational,Kanban policy conformance validator,Optimal,kanban/policies/kanban-governance-policy.md,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_fbu_directory.py,packages/frameworks,Operational,FR/BR/UXR directory layout gate,Optimal,fbu-directory-migration-guide.md,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_install_rc.py,packages/frameworks,Operational,Greenfield/vendor install release-candidate checks (FR-108),Optimal,FR-110 adopter install path,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_ipw_publication_wiring.py,packages/frameworks,Operational,IPW publication wiring drift detector (FR-083),Optimal,P-IPW-GATE,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_ipw_status_drift.py,packages/frameworks,Operational,IPP/task status drift detector,Optimal,implementation-planning track,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_rw_split_brain_streak.py,packages/frameworks,Operational,RW split-brain streak detector,Optimal,release coherence program,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_semver_tag_alignment.py,packages/frameworks,Operational,SemVer tag alignment with internal version,Optimal,task_touch mode,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_semver_monotonic.py,packages/frameworks,Operational,SemVer monotonicity guard,Optimal,semver-registry.yaml,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_kanban_naming.py,packages/frameworks,Operational,Kanban path/naming hygiene (UXR-017),Optimal,kanban governance,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_kanban_completed.py,packages/frameworks,Operational,Kanban completed ledger validator (FR-134),Optimal,kanban-completed skill,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_est_inline_format.py,packages/frameworks,Operational,E:S:T inline padding formatter gate (UXR-014),Optimal,est_format.py,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/validate_workflow_encapsulation.py,packages/frameworks,Operational,Workflow registry encapsulation contract gate,Optimal,workflow-registry.yaml,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/resolve_rw_build.py,packages/frameworks,Operational,Deterministic RW BUILD resolver (BR-097),Optimal,RW version pipeline; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/semver_converter.py,packages/frameworks,Operational,Internal↔SemVer conversion and RW tag creation,Optimal,RW version pipeline; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/finalize_rw_semver_registry.py,packages/frameworks,Operational,Task-touch registry finalize at tag boundary,Optimal,RW version pipeline; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/build_rw_commit_message.py,packages/frameworks,Operational,RW Step 10 commit message builder,Optimal,RW version pipeline; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/push_rw_release.py,packages/frameworks,Operational,RW Step 12 scoped tag push helper (UXR-024),Optimal,RW version pipeline; rw-config,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/build_semver_registry.py,packages/frameworks,Operational,SemVer registry builder from git history,Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/audit_semver_registry_collisions.py,packages/frameworks,Operational,Registry collision audit tool,Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/repair_semver_registry_collisions.py,packages/frameworks,Operational,Registry collision repair tool,Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/migrate_to_task_touch.py,packages/frameworks,Operational,Task-touch mapping migration utility,Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/tag_collision_recovery.py,packages/frameworks,Operational,Tag collision recovery helper (BR-097),Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/task_touch_registry_audit.py,packages/frameworks,Operational,Task-touch registry audit report,Optimal,RW version pipeline; rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/workflows/workflow-registry.yaml,packages/frameworks,Framework SoT,Machine-readable workflow registry (13 workflows + composites),Optimal,workflow-mgt/README.md canonical list,High,Consistent,keep,framework-packages
packages/frameworks/kanban/manifests/kma-agent-guardrails.yaml,packages/frameworks,Framework SoT,KMA agent guardrails manifest (agentic migration),Optimal,docs/kanban/AGENTS.md KMA section,Medium,Consistent,keep,framework-packages
packages/frameworks/tooling-automation/validators/__init__.py,packages/frameworks,Framework SoT,Validator package namespace entry,Acceptable,CQG operator guide; no pyproject at package root,Low,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/templates/**,packages/frameworks,Framework SoT,"Workflow/doc templates (ICW, comprehension, planning)",Optimal,~11 template files; workflow-mgt/README What's Included,Low,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/locales/**,packages/frameworks,Framework SoT,Workflow framework locale/message bundles,Optimal,~74 locale files; homogeneous i18n tree,Low,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/skills/**,packages/frameworks,Framework SoT,"Portable ADK skill packs for adopters (RW, UKW, intake, IPW)",Optimal,skills/README.md; FR-110 vendor bundle,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/workflows/**,packages/frameworks,Framework SoT,YAML workflow definitions + per-workflow READMEs,Optimal,workflow-registry.yaml authoritative,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/KB/**,packages/frameworks,Framework SoT,"Workflow methodology KB (vwmp execution guides, ADRs)",Optimal,Separate from registry rows per README,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/docs/**,packages/frameworks,Framework SoT,"Framework-local maintainer docs (dual-source parity, RW contracts)",Optimal,cursorrules-rw-trigger-section parity docs,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/config/**,packages/frameworks,Framework SoT,"Install profiles, error codes, rw-config schema docs",Optimal,install-rc-checklist.yaml; consumer rw-config,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/validation/test_*.py,packages/frameworks,Operational,Pytest suite for RW/UKW validation scripts,Optimal,run_workflow_scripts_ci_pytest.sh; FR-112 parity,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/version/test_*.py,packages/frameworks,Operational,Pytest suite for version/tag scripts,Optimal,workflow scripts CI pytest harness,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/test_*.py,packages/frameworks,Operational,Top-level workflow script integration tests,Optimal,tests/rw_scenarios cross-ref,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/kanban/**,packages/frameworks,Framework SoT,"Kanban helper scripts (stamps, archive, board transforms)",Optimal,UKW/RW Step 7; stamp_authority.py,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/changelog/**,packages/frameworks,Framework SoT,CMW/changelog analysis helpers,Optimal,CMW workflow; check_changelog_size.py sibling,Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/scripts/icw/**,packages/frameworks,Framework SoT,Implementation cycle workflow env/helpers,Optimal,IPW/IDW mode gates (FR-128),Medium,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/cursorrules-*.md,packages/frameworks,Framework SoT,Portable .cursorrules trigger excerpts for adopters,Optimal,dual-source parity with repo .cursorrules,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/canonical-rw-steps.yaml,packages/frameworks,Framework SoT,Machine-readable RW step contract,Optimal,release-workflow-agent-execution.md,High,Consistent,keep,framework-packages
packages/frameworks/workflow-mgt/AGENTS.md,packages/frameworks,Framework SoT,Workflow framework agent role snippets,Optimal,ADR-012 domain routing defers to package agents,Medium,Consistent,keep,framework-packages
packages/frameworks/kanban/templates/**,packages/frameworks,Framework SoT,Kanban epic/story/task/board templates (~1172 files),Optimal,kanban README; installer scaffolds host docs/kanban,Medium,Consistent,keep,framework-packages
packages/frameworks/kanban/locales/**,packages/frameworks,Framework SoT,Kanban locale bundles,Optimal,~134 locale files,Low,Consistent,keep,framework-packages
packages/frameworks/kanban/KB/**,packages/frameworks,Framework SoT,Kanban methodology and developer docs,Optimal,KMA execution guide housing,Medium,Consistent,keep,framework-packages
packages/frameworks/kanban/policies/**,packages/frameworks,Framework SoT,Kanban governance policies (portable),Optimal,validate_kanban_governance_policy.py,High,Consistent,keep,framework-packages
packages/frameworks/kanban/scripts/**,packages/frameworks,Framework SoT,Kanban install/validation scripts,Optimal,install_kanban_framework.py,High,Consistent,keep,framework-packages
packages/frameworks/kanban/guides/**,packages/frameworks,Framework SoT,Adopter migration and intake guides,Optimal,FR_BR_INTAKE_GUIDE.md; KMA guide,Medium,Consistent,keep,framework-packages
packages/frameworks/numbering-versioning/integration/**,packages/frameworks,Framework SoT,Cross-framework integration examples,Optimal,workflow/kanban integration md,Low,Consistent,keep,framework-packages
packages/frameworks/numbering-versioning/*.md,packages/frameworks,Framework SoT,"Root policy docs (versioning-policy, strategy, cookbook excerpts)",Optimal,governance standards cross-link,Medium,Consistent,keep,framework-packages
packages/frameworks/doc-lifecycle/policies/**,packages/frameworks,Framework SoT,Lifecycle policy YAML/MD,Optimal,doc-lifecycle README,Medium,Consistent,keep,framework-packages
packages/frameworks/doc-lifecycle/templates/**,packages/frameworks,Framework SoT,Lifecycle document templates,Optimal,housekeeping templates,Low,Consistent,keep,framework-packages
packages/frameworks/doc-lifecycle/tests/**,packages/frameworks,Operational,Doc-lifecycle package tests,Optimal,package-local pytest,Low,Consistent,keep,framework-packages
packages/frameworks/debug-path/templates/**,packages/frameworks,Framework SoT,DRW/DPF templates,Optimal,debug-path README,Low,Consistent,keep,framework-packages
packages/frameworks/debug-path/integration/**,packages/frameworks,Framework SoT,Debug path integration examples,Optimal,optional consumer wiring,Low,Consistent,keep,framework-packages
packages/frameworks/tooling-automation/validators/**,packages/frameworks,Framework SoT,CQG SARIF validators and framework checks,Optimal,validate_code_quality_gate.py bridge,Medium,Consistent,keep,framework-packages
packages/frameworks/tooling-automation/generators/**,packages/frameworks,Framework SoT,Kanban/workflow template generators,Optimal,generators/README.md,Low,Consistent,keep,framework-packages
packages/frameworks/tooling-automation/docs/**,packages/frameworks,Framework SoT,CQG operator documentation,Optimal,code-quality-gate-operator-guide.md,Low,Consistent,keep,framework-packages
packages/frameworks/**/__pycache__/**,packages/frameworks,Generated/vendor,Python bytecode caches (local only),Archive/remove,Only in canonical tree during dev; excluded from greenfield sync,Low,Tension,remove (gitignore hygiene; not shipped),framework-packages
scripts/README.md,scripts,Dev-kit specialisation,scripts/ directory index; boundary vs packages/frameworks canonical scripts,Optimal,scripts/README.md; REPOSITORY-DIRECTORY-AUDIT.md scripts row,Medium,Tension,keep,scripts-src
scripts/apply_notion_stubs.py,scripts,Legacy/transitional,Notion/KB migration utility (apply_notion_stubs.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Medium,Tension,archive,scripts-src
scripts/bulk_record_notion_import.py,scripts,Legacy/transitional,Notion/KB migration utility (bulk_record_notion_import.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/cleanup/execute_kanban_naming_cleanup.py,scripts/cleanup,Dev-kit specialisation,Kanban naming/path cleanup utility (execute_kanban_naming_cleanup.py),Acceptable,scripts/cleanup/ T13 NEEDS_REVIEW per script,Low,Consistent,consolidate,scripts-src
scripts/cleanup/generate_kanban_naming_inventory.py,scripts/cleanup,Dev-kit specialisation,Kanban naming/path cleanup utility (generate_kanban_naming_inventory.py),Acceptable,scripts/cleanup/ T13 NEEDS_REVIEW per script,Medium,Consistent,consolidate,scripts-src
scripts/cleanup/output/kanban_naming_inventory.json,scripts/cleanup/output,Generated/vendor,Kanban naming cleanup generated inventory artifact (kanban_naming_inventory.json),Acceptable,scripts/cleanup/ one-off wave; T13 consolidate,Low,Consistent,archive,scripts-src
scripts/cleanup/output/kanban_naming_inventory.md,scripts/cleanup/output,Generated/vendor,Kanban naming cleanup generated inventory artifact (kanban_naming_inventory.md),Acceptable,scripts/cleanup/ one-off wave; T13 consolidate,Low,Consistent,archive,scripts-src
scripts/cleanup/story_reconciliation_decisions.md,scripts/cleanup,Dev-kit specialisation,Kanban naming/path cleanup utility (story_reconciliation_decisions.md),Acceptable,scripts/cleanup/ T13 NEEDS_REVIEW per script,Low,Consistent,consolidate,scripts-src
scripts/cleanup/update_kanban_links.py,scripts/cleanup,Dev-kit specialisation,Kanban naming/path cleanup utility (update_kanban_links.py),Acceptable,scripts/cleanup/ T13 NEEDS_REVIEW per script,Low,Consistent,consolidate,scripts-src
scripts/documentation/documentation-health-dashboard.py,scripts/documentation,Dev-kit specialisation,Documentation maintainer automation: documentation health dashboard,Optimal,scripts/documentation/; maintainer doc hygiene,Medium,Consistent,keep,scripts-src
scripts/documentation/documentation-review-workflow.py,scripts/documentation,Dev-kit specialisation,Documentation maintainer automation: documentation review workflow,Optimal,scripts/documentation/; maintainer doc hygiene,Medium,Consistent,keep,scripts-src
scripts/documentation/validate-documentation-consistency.py,scripts/documentation,Dev-kit specialisation,Doc corpus consistency validator (maintainer docs hygiene),Optimal,scripts/documentation/; documentation-governance strategy,High,Tension,keep,scripts-src
scripts/documentation/validate-documentation-links.py,scripts/documentation,Dev-kit specialisation,Internal doc link checker (pre-portal/adopter link hygiene),Optimal,BR-068; adopter-public-documentation-authoring.md,Medium,Tension,keep,scripts-src
scripts/escape_mdx_placeholders.py,scripts,Dev-kit specialisation,MDX placeholder escape for Docusaurus corpus,Acceptable,BR-068; portal build hygiene,Medium,Consistent,keep,scripts-src
scripts/fix_md_external_links_br068.py,scripts,Dev-kit specialisation,BR-068 monorepo markdown external link repair utility,Acceptable,BR-068; portal pytest,Low,Consistent,keep,scripts-src
scripts/fr099_bootstrap_public_ai_dev_kit.sh,scripts,Dev-kit specialisation,FR-099 public repo bootstrap shell entrypoint,Optimal,docs/maintenance/fr099-phase3-public-repo-bootstrap.md,Medium,Consistent,keep,scripts-src
scripts/fr099_install_smoke_test.sh,scripts,Dev-kit specialisation,FR-099 greenfield install smoke test wrapper,Optimal,FR-099; test_greenfield_container.py,Medium,Consistent,keep,scripts-src
scripts/fr099_sync_public_from_private.sh,scripts,Dev-kit specialisation,FR-099 private→public content sync driver,Optimal,FR-099 book migration program,Medium,Consistent,keep,scripts-src
scripts/frameworks/__init__.py,scripts/frameworks,Dev-kit specialisation,Package init for scripts/frameworks tree,Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/__init__.py,scripts/frameworks/collectors,Dev-kit specialisation,Package init for scripts/frameworks collectors,Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/compatibility_status.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (compatibility_status.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/dependency_health.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (dependency_health.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/documentation_quality.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (documentation_quality.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/maintenance_activity.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (maintenance_activity.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/stability_reliability.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (stability_reliability.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/collectors/usage_adoption.py,scripts/frameworks/collectors,Dev-kit specialisation,Framework health metric collector (usage_adoption.py),Acceptable,T13 vs packages/frameworks boundary tension,Low,Tension,keep,scripts-src
scripts/frameworks/framework-health-monitor.py,scripts/frameworks,Dev-kit specialisation,Framework package health dashboard orchestrator (book-repo era),Acceptable,vs packages/frameworks — clarify boundary per T13,Medium,Tension,keep,scripts-src
scripts/frameworks/generate-dashboard.py,scripts/frameworks,Dev-kit specialisation,Generate framework health dashboard HTML/JSON,Acceptable,T13 vs packages/frameworks boundary tension,Medium,Tension,keep,scripts-src
scripts/frameworks/utils.py,scripts/frameworks,Dev-kit specialisation,Shared helpers for scripts/frameworks collectors and dashboards,Acceptable,scripts/frameworks/; not framework package SoT,High,Tension,keep,scripts-src
scripts/git-hooks/pre-commit,scripts/git-hooks,Operational,Local pre-commit hook delegating to validate_board_stamps_precommit.py,Optimal,FR-097; packages/frameworks/workflow-mgt/scripts/validation/,High,Consistent,keep,scripts-src
scripts/greenfield-install-manifest.yaml,scripts,Operational,Copy manifest for sync_greenfield_install.py (include/exclude rules),Optimal,sync_greenfield_install.py; FR-110,High,Consistent,keep,scripts-src
scripts/internal/README.md,scripts/internal,Dev-kit specialisation,Internal scripts scope boundary (non-adopter utilities),Optimal,scripts/README.md; ADR-026 internal tooling,Low,Consistent,keep,scripts-src
scripts/internal/remediate_reliability_wave1.py,scripts/internal,Dev-kit specialisation,One-off BR-100 wave-1 reliability remediation batch,Acceptable,E08:S03:T13; point-in-time maintainer script,Low,Consistent,consolidate,scripts-src
scripts/internal/scan_tasks_for_moscow.py,scripts/internal,Dev-kit specialisation,UKW helper: scan task docs for MoSCOW coverage gaps,Optimal,scripts/internal/README.md; UKW BR-059,Medium,Consistent,keep,scripts-src
scripts/internal/validate_cli.py,scripts/internal,Dev-kit specialisation,ai-dev-kit CLI validation harness (E06:S08),Optimal,scripts/internal/README.md; packages/cli,Medium,Consistent,keep,scripts-src
scripts/invoke_kb_migration_mcp.py,scripts,Legacy/transitional,Notion/KB migration utility (invoke_kb_migration_mcp.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_index.py,scripts,Legacy/transitional,Maintainer KB Notion index builder (pre-ADR-026 git SoT),Suboptimal,ADR-026 git SoT; docs/knowledge/ target,Medium,Tension,archive,scripts-src
scripts/kb_mcp_push_remaining.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_mcp_push_remaining.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_migrate_full_content.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_migrate_full_content.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_migrate_push_all.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_migrate_push_all.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_migrate_push_stubs.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_migrate_push_stubs.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_push_to_notion.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_push_to_notion.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Medium,Tension,archive,scripts-src
scripts/kb_push_via_mcp.py,scripts,Legacy/transitional,Notion/KB migration utility (kb_push_via_mcp.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/kb_stub_sweep.py,scripts,Legacy/transitional,Notion KB stub detection/sweep during migration,Suboptimal,ADR-026; kb_* migration cluster,High,Tension,archive,scripts-src
scripts/merge_changelogs.py,scripts,Legacy/transitional,One-off epic/main changelog merge utility (pre-CMW consolidation),Suboptimal,Historical branch merge; CMW SoT in packages/frameworks/workflow-mgt/scripts/changelog/,Low,Tension,archive,scripts-src
scripts/notion_import_fr114_batch.py,scripts,Legacy/transitional,FR-114 Notion import batch driver,Suboptimal,FR-114 split surfaces; ADR-026,Low,Consistent,archive,scripts-src
scripts/notion_migration_manifest.py,scripts,Legacy/transitional,Notion migration batch manifest (FR-114/FR-121 program),Suboptimal,ADR-026 git SoT; Notion optional archive,Medium,Consistent,archive,scripts-src
scripts/notion_push_payloads/INVOKE_README.md,scripts/notion_push_payloads,Legacy/transitional,Operator notes for Notion MCP push payload batch,Suboptimal,ADR-026; scripts/notion_push_payloads/ T13 archive wave,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_00_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_00_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
